Iteration,Value
0,54
10,61
20,64
30,67
40,70
50,73
60,76
70,79
80,79
90,79
100,81
110,82
120,83
130,84
140,89
150,91
160,91
170,91
180,92
190,93
200,94
210,92
220,92
230,92
240,93
250,95
260,97
270,96
280,95
290,96
300,98
