Iteration,Value
0,0
10,59
20,61
30,60
40,60
50,59
60,61
70,59
80,60
90,60
100,60
110,60
120,60
130,60
140,59
150,60
160,60
170,60
180,60
190,60
200,60
210,60
220,60
230,61
240,60
250,60
260,60
270,60
280,59
290,61
300,60
